timestamp,it_rpm,it_temp_c,it_pressure_bar,it_vibration_mms,physical_rpm,physical_temp_c,physical_pressure_bar,physical_vibration_mms,attack_mode,label
2025-01-02T00:00:00,1188.68,289.33,71.71,0.1203,1243.04,284.33,65.46,0.1275,0,normal
2025-01-02T00:00:00.500000,1230.12,277.17,70.5,0.1273,1213.92,285.04,70.47,0.1126,0,normal
2025-01-02T00:00:01,1195.33,289.17,71.98,0.1222,1305.94,278.38,73.09,0.1272,0,normal
2025-01-02T00:00:01.500000,1177.61,285.76,74.7,0.1188,1264.1,283.39,78.48,0.1082,0,normal
2025-01-02T00:00:02,1201.56,278.68,70.99,0.1175,1183.98,271.45,71.74,0.1233,0,normal
2025-01-02T00:00:02.500000,1163.23,282.29,75.66,0.1212,1090.94,269.03,72.81,0.1207,0,normal
2025-01-02T00:00:03,1185.9,294.38,75.77,0.119,1252.38,295.52,75.8,0.1154,0,normal
2025-01-02T00:00:03.500000,1246.55,284.71,72.61,0.12,1191.62,288.17,67.73,0.1058,0,normal
2025-01-02T00:00:04,1194.88,281.24,72.79,0.1216,1200.81,301.89,71.98,0.1095,0,normal
2025-01-02T00:00:04.500000,1194.63,290.01,69.29,0.1197,1234.53,315.24,76.35,0.121,0,normal
2025-01-02T00:00:05,1212.5,276.89,70.49,0.1223,1209.67,288.29,72.12,0.12,0,normal
2025-01-02T00:00:05.500000,1202.47,280.49,71.67,0.1155,1162.82,298.63,71.35,0.1243,0,normal
2025-01-02T00:00:06,1202.77,283.35,70.55,0.1186,1210.99,291.61,72.44,0.1247,0,normal
2025-01-02T00:00:06.500000,1163.52,288.7,70.38,0.1235,1230.14,263.68,74.65,0.1272,0,normal
2025-01-02T00:00:07,1230.19,281.71,72.26,0.1225,1244.18,289.67,70.46,0.1271,0,normal
2025-01-02T00:00:07.500000,1223.85,284.34,70.87,0.1174,1281.89,295.84,71.93,0.1186,0,normal
2025-01-02T00:00:08,1157.56,284.64,70.28,0.1206,1271.11,273.82,72.86,0.1272,0,normal
2025-01-02T00:00:08.500000,1205.29,282.76,72.01,0.1234,1215.75,284.96,76.16,0.1237,0,normal
2025-01-02T00:00:09,1171.13,287.7,73.37,0.1155,1063.88,273.12,71.63,0.1273,0,normal
2025-01-02T00:00:09.500000,1178.62,287.37,67.83,0.1206,1175.6,308.92,65.19,0.1199,0,normal
2025-01-02T00:00:10,1154.44,282.65,69.55,0.1283,1178.67,282.59,71.85,0.1118,0,normal
2025-01-02T00:00:10.500000,1225.33,287.74,73.32,0.1156,1268.12,296.63,71.16,0.1264,0,normal
2025-01-02T00:00:11,1206.54,278.19,71.74,0.1183,1205.13,296.64,66.09,0.1168,0,normal
2025-01-02T00:00:11.500000,1180.28,281.67,70.81,0.1202,1231.39,288.97,72.67,0.1245,0,normal
2025-01-02T00:00:12,1257.13,285.58,73.47,0.1235,1306.67,291.39,68.96,0.1222,0,normal
2025-01-02T00:00:12.500000,1206.03,288.48,70.74,0.1246,1200.31,294.57,73.11,0.1209,0,normal
2025-01-02T00:00:13,1205.61,287.87,74.82,0.1127,1232.4,285.5,71.36,0.103,0,normal
2025-01-02T00:00:13.500000,1213.92,284.47,70.8,0.1202,1182.43,265.14,72.32,0.1242,0,normal
2025-01-02T00:00:14,1186.82,286.12,72.16,0.1238,1193.78,294.13,70.87,0.1342,0,normal
2025-01-02T00:00:14.500000,1189.52,282.07,71.86,0.1174,1125.08,293.29,60.97,0.1148,0,normal
2025-01-02T00:00:15,1167.8,285.61,68.85,0.122,1239.37,266.39,72.69,0.1237,0,normal
2025-01-02T00:00:15.500000,1222.57,278.72,69.68,0.1254,1150.69,278.99,74.28,0.1116,0,normal
2025-01-02T00:00:16,1193.62,288.81,69.95,0.1182,1132.4,276.18,76.27,0.1301,0,normal
2025-01-02T00:00:16.500000,1206.19,287.28,72.73,0.1176,1214.29,270.23,68.55,0.1194,0,normal
2025-01-02T00:00:17,1174.54,279.56,70.97,0.1241,1293.43,284.63,74.1,0.1159,0,normal
2025-01-02T00:00:17.500000,1150.42,281.18,71.56,0.1205,1193.94,281.79,69.93,0.1225,0,normal
2025-01-02T00:00:18,1167.27,288.43,71.16,0.1274,1181.08,279.53,69.97,0.1166,0,normal
2025-01-02T00:00:18.500000,1214.57,284.82,73.42,0.1217,1201.89,289.25,76.31,0.1247,0,normal
2025-01-02T00:00:19,1206.73,286.81,70.34,0.1293,1231.69,292.16,71.9,0.1035,0,normal
2025-01-02T00:00:19.500000,1193.63,285.32,70.82,0.117,1179.64,293.8,76.52,0.1212,0,normal
