timestamp,it_rpm,it_temp_c,it_pressure_bar,it_vibration_mms,physical_rpm,physical_temp_c,physical_pressure_bar,physical_vibration_mms,attack_mode,label
2025-01-01T00:00:00,1211.92,284.41,72.93,0.1255,1188.76,283.0,76.55,0.1246,0,normal
2025-01-01T00:00:00.500000,1188.73,287.32,71.33,0.1183,1211.61,268.64,67.03,0.1166,0,normal
2025-01-01T00:00:01,1175.69,286.34,70.69,0.1149,1270.35,283.07,72.19,0.1115,0,normal
2025-01-01T00:00:01.500000,1186.93,285.47,70.34,0.1214,1171.17,282.51,70.27,0.1311,0,normal
2025-01-01T00:00:02,1199.68,280.48,73.18,0.1156,1210.03,268.24,68.17,0.1212,0,normal
2025-01-01T00:00:02.500000,1217.72,285.73,71.83,0.1189,1129.03,278.85,70.67,0.1263,0,normal
2025-01-01T00:00:03,1208.25,277.46,72.47,0.1186,1167.51,290.23,74.97,0.1256,0,normal
2025-01-01T00:00:03.500000,1179.86,283.68,72.48,0.1235,1177.0,283.41,68.81,0.1128,0,normal
2025-01-01T00:00:04,1219.5,290.8,71.9,0.1236,1217.36,279.48,73.04,0.1292,0,normal
2025-01-01T00:00:04.500000,1199.14,291.69,68.23,0.123,1204.18,282.44,72.26,0.1081,0,normal
2025-01-01T00:00:05,1194.73,286.53,74.13,0.1181,1161.19,280.71,74.64,0.122,0,normal
2025-01-01T00:00:05.500000,1187.29,287.19,72.14,0.1235,1166.3,282.2,70.87,0.1112,0,normal
2025-01-01T00:00:06,1207.11,286.12,72.01,0.1192,1132.06,281.4,71.01,0.1152,0,normal
2025-01-01T00:00:06.500000,1196.13,286.73,74.72,0.1206,1212.36,284.36,66.47,0.1198,0,normal
2025-01-01T00:00:07,1201.45,295.53,71.72,0.1211,1198.33,275.01,75.29,0.1245,0,normal
2025-01-01T00:00:07.500000,1218.98,281.11,74.02,0.115,1228.17,303.73,69.15,0.1166,0,normal
2025-01-01T00:00:08,1202.39,282.85,69.77,0.1202,1149.01,289.05,69.35,0.1293,0,normal
2025-01-01T00:00:08.500000,1181.2,283.62,73.17,0.1156,1210.92,296.18,67.37,0.1211,0,normal
2025-01-01T00:00:09,1206.24,288.34,70.22,0.1152,1225.05,287.54,72.72,0.1221,0,normal
2025-01-01T00:00:09.500000,1183.68,285.99,72.42,0.1174,1289.56,289.05,68.57,0.1239,0,normal
2025-01-01T00:00:10,1176.61,288.36,73.67,0.117,1246.24,288.53,74.37,0.1314,0,normal
2025-01-01T00:00:10.500000,1194.11,281.78,70.72,0.1171,1196.3,287.92,72.8,0.125,0,normal
2025-01-01T00:00:11,1200.31,291.21,71.62,0.1298,1230.03,277.67,68.92,0.1229,0,normal
2025-01-01T00:00:11.500000,1194.64,288.05,72.68,0.1197,1159.35,272.05,70.71,0.1251,0,normal
2025-01-01T00:00:12,1205.14,279.67,72.25,0.1214,1157.57,286.31,72.17,0.1131,0,normal
2025-01-01T00:00:12.500000,1208.59,287.4,73.56,0.1238,1133.87,276.98,73.48,0.1231,0,normal
2025-01-01T00:00:13,1212.36,301.47,72.82,0.1241,1245.79,290.57,71.09,0.1246,0,normal
2025-01-01T00:00:13.500000,1181.45,283.99,71.3,0.1203,1311.1,269.03,73.98,0.1103,0,normal
2025-01-01T00:00:14,1188.67,289.66,72.09,0.1161,1165.67,290.81,69.9,0.1213,0,normal
2025-01-01T00:00:14.500000,1201.09,282.21,75.09,0.1223,1102.79,286.59,70.09,0.1251,0,normal
2025-01-01T00:00:15,1180.98,284.51,72.73,0.1231,1142.39,282.14,70.63,0.1161,0,normal
2025-01-01T00:00:15.500000,1242.37,286.73,70.18,0.1233,1301.86,293.83,67.62,0.1171,0,normal
2025-01-01T00:00:16,1230.41,281.97,72.64,0.1228,1155.51,284.49,62.67,0.1139,0,normal
2025-01-01T00:00:16.500000,1193.94,279.67,74.35,0.1149,1178.88,286.12,76.15,0.1114,0,normal
2025-01-01T00:00:17,1227.92,285.04,70.59,0.1217,1209.55,279.87,72.2,0.1177,0,normal
2025-01-01T00:00:17.500000,1202.72,287.83,74.28,0.1155,1302.39,268.31,71.56,0.1235,0,normal
2025-01-01T00:00:18,1206.74,282.34,71.7,0.1182,1171.71,292.26,73.03,0.1158,0,normal
2025-01-01T00:00:18.500000,1221.59,286.31,73.17,0.1223,1160.21,280.21,74.15,0.1237,0,normal
2025-01-01T00:00:19,1199.5,285.5,73.84,0.1179,1226.26,283.27,71.37,0.1266,0,normal
2025-01-01T00:00:19.500000,1219.81,288.48,73.88,0.1201,1232.73,282.35,72.93,0.1192,0,normal
2025-01-01T00:00:20,1202.33,287.54,70.82,0.1275,1151.71,274.62,75.34,0.1247,0,normal
2025-01-01T00:00:20.500000,1214.98,287.69,71.98,0.1168,1203.64,279.21,74.81,0.1191,0,normal
2025-01-01T00:00:21,1180.19,283.63,72.59,0.118,1160.53,287.08,72.71,0.117,0,normal
2025-01-01T00:00:21.500000,1188.7,285.99,69.91,0.1149,1165.51,283.18,72.9,0.1289,0,normal
2025-01-01T00:00:22,1220.58,284.32,71.97,0.1164,1199.11,282.53,72.93,0.115,0,normal
2025-01-01T00:00:22.500000,1212.46,291.55,71.84,0.1214,1233.13,281.57,72.65,0.1201,0,normal
2025-01-01T00:00:23,1202.34,281.7,72.04,0.1218,1269.65,293.2,78.2,0.1154,0,normal
2025-01-01T00:00:23.500000,1220.94,285.78,75.15,0.1171,1159.69,279.88,65.88,0.1168,0,normal
2025-01-01T00:00:24,1181.78,285.64,72.49,0.1268,1245.62,280.07,69.41,0.123,0,normal
2025-01-01T00:00:24.500000,1168.31,292.83,73.7,0.1183,1117.77,296.58,71.67,0.1274,0,normal
2025-01-01T00:00:25,1161.73,282.44,72.01,0.1202,1178.4,290.33,68.93,0.1191,0,normal
2025-01-01T00:00:25.500000,1202.89,287.2,73.02,0.116,1126.36,295.92,72.96,0.1155,0,normal
2025-01-01T00:00:26,1237.23,285.49,73.7,0.1202,1298.92,300.01,71.28,0.1258,0,normal
2025-01-01T00:00:26.500000,1215.49,290.85,70.61,0.1225,1250.8,269.96,68.59,0.1078,0,normal
2025-01-01T00:00:27,1193.53,288.07,74.16,0.1203,1278.17,273.2,67.09,0.1197,0,normal
2025-01-01T00:00:27.500000,1209.22,284.86,69.02,0.1197,1137.39,290.73,73.06,0.1144,0,normal
2025-01-01T00:00:28,1187.67,280.47,71.91,0.1234,1152.69,289.31,70.47,0.1152,0,normal
2025-01-01T00:00:28.500000,1197.43,280.57,71.2,0.1157,1294.31,285.3,69.98,0.1213,0,normal
2025-01-01T00:00:29,1197.3,284.06,72.88,0.1227,1174.54,280.08,71.21,0.1062,0,normal
2025-01-01T00:00:29.500000,1163.64,290.84,74.37,0.1191,1227.67,287.66,80.87,0.1267,0,normal
2025-01-01T00:00:30,1196.93,280.92,69.69,0.1207,1163.7,272.84,70.14,0.1135,0,normal
2025-01-01T00:00:30.500000,1240.49,288.77,71.99,0.1253,1203.71,277.64,76.39,0.1232,0,normal
2025-01-01T00:00:31,1175.11,284.19,70.74,0.115,1244.46,301.33,67.97,0.1234,0,normal
2025-01-01T00:00:31.500000,1184.38,282.92,71.15,0.1169,1202.33,277.9,72.78,0.1197,0,normal
2025-01-01T00:00:32,1194.27,281.12,71.17,0.1227,1224.04,276.64,72.29,0.1245,0,normal
2025-01-01T00:00:32.500000,1159.93,287.32,71.05,0.1221,1163.36,269.57,67.31,0.1203,0,normal
2025-01-01T00:00:33,1206.23,281.13,72.92,0.114,1196.83,274.65,70.12,0.1203,0,normal
2025-01-01T00:00:33.500000,1179.35,283.36,73.45,0.1179,1240.11,275.34,73.53,0.1286,0,normal
2025-01-01T00:00:34,1140.68,281.59,72.83,0.1193,1217.82,279.84,72.25,0.1191,0,normal
2025-01-01T00:00:34.500000,1228.03,286.09,72.49,0.1185,1176.59,281.3,73.14,0.1175,0,normal
2025-01-01T00:00:35,1206.95,293.87,73.25,0.1188,1257.66,281.51,66.13,0.114,0,normal
2025-01-01T00:00:35.500000,1155.1,283.5,72.03,0.126,1215.69,283.13,74.39,0.1067,0,normal
2025-01-01T00:00:36,1205.65,288.3,69.87,0.1241,1216.25,281.45,73.82,0.1336,0,normal
2025-01-01T00:00:36.500000,1204.36,286.06,71.34,0.1169,1239.86,277.68,72.21,0.1171,0,normal
2025-01-01T00:00:37,1211.5,286.43,73.49,0.1182,1187.05,276.63,70.72,0.1223,0,normal
2025-01-01T00:00:37.500000,1218.17,281.06,73.25,0.1249,1219.84,301.05,69.77,0.1125,0,normal
2025-01-01T00:00:38,1157.31,291.4,72.94,0.1198,1213.44,275.38,79.04,0.1208,0,normal
2025-01-01T00:00:38.500000,1202.63,288.1,72.69,0.1208,1162.06,289.03,77.42,0.1281,0,normal
2025-01-01T00:00:39,1238.24,282.81,70.57,0.1195,1202.67,294.36,67.13,0.1292,0,normal
2025-01-01T00:00:39.500000,1196.21,283.18,70.54,0.114,1239.51,285.63,68.28,0.1122,0,normal
2025-01-01T00:00:40,1191.94,292.14,71.63,0.1146,1188.2,282.67,64.23,0.1197,0,normal
2025-01-01T00:00:40.500000,1194.46,287.98,74.66,0.1241,1187.09,275.54,79.41,0.1204,0,normal
2025-01-01T00:00:41,1200.33,284.9,72.29,0.1195,1172.46,280.32,71.91,0.1167,0,normal
2025-01-01T00:00:41.500000,1182.89,285.45,71.63,0.1254,1072.75,294.33,75.59,0.1076,0,normal
2025-01-01T00:00:42,1191.78,283.41,69.97,0.1172,1146.69,299.98,74.69,0.1276,0,normal
2025-01-01T00:00:42.500000,1217.32,280.17,71.24,0.1218,1141.34,291.1,71.31,0.1178,0,normal
2025-01-01T00:00:43,1217.06,286.9,71.48,0.1242,1148.11,290.27,73.71,0.1181,0,normal
2025-01-01T00:00:43.500000,1207.83,279.65,73.33,0.1193,1174.91,293.97,69.97,0.1115,0,normal
2025-01-01T00:00:44,1162.64,287.59,70.16,0.1263,1100.07,299.5,72.61,0.1194,0,normal
2025-01-01T00:00:44.500000,1186.92,286.71,71.95,0.124,1205.48,286.29,70.95,0.1197,0,normal
2025-01-01T00:00:45,1207.39,277.69,70.06,0.1227,1208.2,283.43,72.05,0.1221,0,normal
2025-01-01T00:00:45.500000,1187.05,281.67,72.28,0.1165,1219.6,270.44,74.96,0.1228,0,normal
2025-01-01T00:00:46,1206.14,289.2,74.4,0.1237,1111.64,274.06,70.2,0.1202,0,normal
2025-01-01T00:00:46.500000,1212.42,281.9,72.27,0.1173,1170.65,272.97,69.34,0.1119,0,normal
2025-01-01T00:00:47,1176.58,289.5,70.63,0.1295,1223.68,286.58,69.53,0.1242,0,normal
2025-01-01T00:00:47.500000,1186.18,285.52,75.69,0.1197,1255.17,278.99,71.9,0.1306,0,normal
2025-01-01T00:00:48,1184.95,292.75,73.02,0.118,1230.36,293.32,73.79,0.1106,0,normal
2025-01-01T00:00:48.500000,1182.55,283.94,71.89,0.1222,1208.53,273.58,73.09,0.1237,0,normal
2025-01-01T00:00:49,1213.43,289.62,73.2,0.1217,1196.63,270.8,73.24,0.1212,0,normal
2025-01-01T00:00:49.500000,1206.52,279.54,70.44,0.1238,1198.1,290.83,72.08,0.1202,0,normal
2025-01-01T00:00:50,1222.52,282.79,72.14,0.1183,1179.14,282.36,72.64,0.1171,0,normal
2025-01-01T00:00:50.500000,1230.14,281.18,71.73,0.1184,1269.45,286.68,74.97,0.1111,0,normal
2025-01-01T00:00:51,1206.41,288.8,72.12,0.1238,1175.17,297.05,78.62,0.1178,0,normal
2025-01-01T00:00:51.500000,1189.31,291.21,74.27,0.1181,1179.83,282.59,68.13,0.1145,0,normal
2025-01-01T00:00:52,1175.9,281.72,71.95,0.1208,1274.42,276.46,74.83,0.1187,0,normal
2025-01-01T00:00:52.500000,1198.81,287.88,70.38,0.1214,1207.99,289.21,72.83,0.1347,0,normal
2025-01-01T00:00:53,1184.69,282.73,71.1,0.118,1169.41,295.17,76.09,0.1166,0,normal
2025-01-01T00:00:53.500000,1180.02,287.02,71.2,0.1223,1209.74,272.04,76.46,0.1308,0,normal
2025-01-01T00:00:54,1185.29,283.34,72.41,0.1212,1231.61,302.19,71.49,0.1152,0,normal
2025-01-01T00:00:54.500000,1166.9,281.88,71.95,0.1265,1175.15,286.91,71.95,0.1271,0,normal
2025-01-01T00:00:55,1260.65,282.73,71.3,0.1238,1232.73,300.79,73.68,0.1178,0,normal
2025-01-01T00:00:55.500000,1214.18,289.74,73.18,0.1218,1251.2,295.0,75.98,0.1239,0,normal
2025-01-01T00:00:56,1195.99,285.63,73.74,0.1171,1217.7,281.64,72.08,0.1277,0,normal
2025-01-01T00:00:56.500000,1204.59,285.2,70.04,0.1227,1230.98,303.5,71.11,0.1213,0,normal
2025-01-01T00:00:57,1205.99,291.74,71.86,0.121,1229.18,286.6,70.71,0.1212,0,normal
2025-01-01T00:00:57.500000,1225.77,280.61,72.19,0.1175,1257.36,271.98,70.39,0.1223,0,normal
2025-01-01T00:00:58,1237.57,284.72,71.2,0.1268,1130.5,266.2,73.27,0.117,0,normal
2025-01-01T00:00:58.500000,1175.49,288.03,72.35,0.118,1138.55,292.46,73.87,0.1194,0,normal
2025-01-01T00:00:59,1244.32,280.43,69.8,0.1175,1197.81,287.08,71.31,0.1221,0,normal
2025-01-01T00:00:59.500000,1169.96,291.17,71.88,0.124,1216.45,288.91,73.64,0.1227,0,normal
2025-01-01T00:01:00,1215.43,290.68,72.28,0.1226,1195.69,297.31,70.05,0.1308,0,normal
2025-01-01T00:01:00.500000,1199.04,278.88,72.18,0.1175,1240.35,279.42,70.71,0.1087,0,normal
